Region	Crecimiento	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10
Chaco semiárido	16.8640251134081	1.9	2.7	2.9	4	4	4	5.5	6.6	6.5	12
Chaco semiárido	27.5537568236893	2.1	3.8	4	4.2	5.7	5.6	5.3	6.8	7	8.2
Chaco semiárido	16.2752138840892	2.5	2.5	3.1	4	4.2	3.9	4.2	4.3	5.6	7
Chaco semiárido	7.42046092184289	1.7	3	3.1	3.8	3.8	4	5.2	6.5	6.9	6.6
Chaco semiárido	22.7117862340743	0.8	1.3	3.9	6	6.6	7	7	6.6	8.1	8.2
Chaco semiárido	16.859802468792	2.6	1.3	3.3	3.9	4	5.6	5.3	6.9	7.2	7.2
Chaco semiárido	25.9586644486844	2.3	2.9	4.2	4.2	4	5.3	5.7	6.9	7.2	10.7
Chaco semiárido	16.7346089550141	2.2	2.7	2.6	4.3	4.4	6.8	6.6	8.4	9.5	12
Chaco árido	15.7965625899497	0.9	1.7	3	4	5.3	5.6	5.5	5.5	6.8	8.1
Chaco árido	5.43563811265775	1.4	2.1	3.3	3.8	3.8	4.2	4.5	5.8	5.8	6.6
Chaco árido	21.1023767938049	2.5	2.7	4.3	4.8	5.3	5.8	6.9	6.6	7	7.9
Chaco árido	6.53481802097443	2.6	2.7	3.1	3.8	3.8	4	4.3	4.2	4	8.2
Chaco árido	17.4803339970406	2.1	2.7	2.7	4	4.2	3.9	5.7	5.2	7	6.5
Chaco árido	22.5308393201267	1.8	2.6	3.3	4.3	4.2	5.7	5.8	5.8	5.6	10.4
Chaco árido	8.34927608734478	0.9	2.6	3.1	3.6	3.8	4	3.9	5.6	5.7	5.8
Chaco árido	12.1042957861804	1.4	2.3	2.9	3.9	4.2	4	5.3	5.3	5.5	11.1
Chaco árido	12.7792983228424	1	1.4	2.7	3	6.9	7	8.3	8.2	8.3	9.4
Chaco árido	17.5067613291157	2.5	2.6	3	6	6.1	6.2	7	8.2	8.3	9.8
Chaco árido	21.3234491107735	1.6	2.6	3.9	5.5	5.6	6.9	6.9	6.6	7.8	13.3
Chaco árido	16.6637802403952	2.3	2.3	2.7	4.5	4	4	5.3	5.6	6.6	6.8
Chaco árido	12.7886585540213	2.5	2.6	2.6	2.7	4.4	6.8	8.2	9.6	11.8	16
Chaco árido	7.12612254064467	2.5	2.6	2.7	3.7	3.9	4.4	4.5	5.7	7.2	9.1
Chaco árido	21.3314323376295	2.1	2.9	4.4	4.2	5.5	5.7	5.3	6.8	7	26
Chaco árido	20.4097706085571	1.7	2.6	4.2	4.2	5.5	5.7	5.3	5.5	6.6	6.5
Chaco árido	5.98097708581661	2.5	3.5	3.6	5	6.5	7.8	11.7	13	15.6	16.9
Chaco árido	11.848556581935	1.6	1.6	3.1	3.1	5.5	5.3	5.3	7.2	9.4	9.5
Chaco árido	20.8017721620521	1.8	1.9	4.4	4.5	5.2	5.3	5.7	5.5	7	8.2
Chaco serrano	36.9449225608097	1.4	2	2.5	4	4.2	5.7	6.8	8.1	10.7	13.5
Chaco serrano	19.3960640536277	1.8	2.9	4.5	4.3	4.4	5.2	5.3	6.6	6.6	8.1
Chaco serrano	13.2759185754175	1.2	1.6	3.1	3.1	4	5.5	6.8	7.2	7	8.1
Chaco serrano	18.4504875785657	1.4	3	2.6	3	4.4	4.4	5.6	5.5	7	6.8
Chaco serrano	14.5849825798619	1.2	1.4	3	3.1	4.2	4.5	5.7	5.6	5.6	7
Chaco serrano	26.1935635873579	1.8	2.9	3.9	4	5.6	5.3	5.5	6.8	6.9	8.3
Chaco serrano	28.9720043706585	1.3	3.9	3.9	4.1	7.2	6.5	7.8	8.4	10.9	12.1
Chaco serrano	19.1135808346867	1.4	3	3.3	4.3	5.7	5.7	5.6	5.5	8.3	11.8
Chaco serrano	13.9944941626563	1.6	2.7	2.6	4.2	4	3.9	4.2	5.3	8.2	9.4
Chaco serrano	9.68904116571957	1.4	1.6	2.7	3	3.1	5.6	5.7	6.5	9.8	19.5
Chaco serrano	25.2914852439437	0.9	2.3	4	4.2	4.2	4.2	6.8	6.6	8.1	9.1
Chaco serrano	9.34773214202954	2.1	2.6	2.9	3.8	3.8	5.7	5.5	5.6	7.9	9.2
